time,conc_1yi,conc_2yi,conc_3yi,conc_4yi,conc_5yi,conc_6yi
2026-05-01 12:00:00,0.54525673,0.10986107,0.05563132,0.011559647,0.0078679435,0.002298969
2026-05-02 12:00:00,0.5379107,0.1098979,0.055619046,0.011562592,0.007919981,0.0023033873
2026-05-03 12:00:00,0.52816737,0.10987826,0.055606775,0.011571428,0.0078851255,0.002250859
2026-05-04 12:00:00,0.525052,0.109829664,0.055560626,0.011488464,0.007786452,0.0022739323
2026-05-05 12:00:00,0.5267482,0.10983555,0.055299956,0.011527247,0.007930781,0.0022194404
2026-05-06 12:00:00,0.528513,0.10956799,0.055298977,0.0115621025,0.00788758,0.0022371134
2026-05-07 12:00:00,0.528757,0.10942808,0.055181153,0.011583702,0.007874816,0.002320079
2026-05-08 12:00:00,0.5342376,0.109597445,0.055279333,0.011501718,0.0078507615,0.0022837506
2026-05-09 12:00:00,0.5329436,0.10934856,0.055232204,0.011580265,0.007818852,0.0022474227
2026-05-10 12:00:00,0.5321202,0.109021604,0.05525675,0.0113082975,0.0077673057,0.0022061858
2026-05-11 12:00:00,0.5343059,0.10886157,0.0551836,0.011325479,0.007726068,0.0021909673
2026-05-12 12:00:00,0.5337016,0.1093461,0.054912627,0.011308788,0.007803142,0.0021188022
2026-05-13 12:00:00,0.53207654,0.10933923,0.05480855,0.01110162,0.0077442317,0.0021242024
2026-05-14 12:00:00,0.5288159,0.109143354,0.05483996,0.011094256,0.0076794303,0.002114384
2026-05-15 12:00:00,0.5273549,0.109162,0.054938145,0.011049584,0.0075959754,0.0021413844
2026-05-16 12:00:00,0.5253726,0.109300934,0.05469858,0.0109204715,0.007634757,0.0020780559
2026-05-17 12:00:00,0.51965296,0.109011784,0.054605797,0.010934217,0.0076647033,0.0020697105
2026-05-18 12:00:00,0.5153853,0.10902356,0.054695636,0.010963673,0.0076381937,0.0020770743
2026-05-19 12:00:00,0.5095106,0.10888366,0.05476387,0.010912126,0.0077363774,0.0020942565
2026-05-20 12:00:00,0.5058704,0.10869367,0.054830637,0.010896417,0.0076863035,0.0021168387
2026-05-21 12:00:00,0.5053844,0.10861906,0.05493815,0.01081836,0.007553756,0.0021026018
2026-05-22 12:00:00,0.506002,0.10811096,0.05474178,0.010885616,0.0075360835,0.0021104563
2026-05-23 12:00:00,0.50436825,0.10832106,0.05465636,0.010858125,0.007570938,0.0021227298
2026-05-24 12:00:00,0.50061464,0.1084816,0.054631814,0.010948455,0.007539029,0.0021237114
2026-05-25 12:00:00,0.49834514,0.10802652,0.054538537,0.010985764,0.007706431,0.0021462936
2026-05-26 12:00:00,0.496351,0.10806873,0.054569468,0.010859106,0.0077260677,0.0021379483
2026-05-27 12:00:00,0.49399704,0.10816445,0.05446981,0.010802652,0.007837507,0.0021364754
2026-05-28 12:00:00,0.48952627,0.107813455,0.054464903,0.010809034,0.0077334316,0.0020687287
2026-05-29 12:00:00,0.48470792,0.10755965,0.054440357,0.010811488,0.0077422685,0.0020584194
2026-05-30 12:00:00,0.48023072,0.107664704,0.054355428,0.010693177,0.0077707414,0.002082965
2026-05-31 12:00:00,0.47534564,0.10769319,0.0543137,0.010697104,0.0076578306,0.0021124205
